DC_red,AC_red,(AC/DC)_red,DC_ir,AC_ir,(AC/DC)_ir,SpO2
89.90844981,0.10826117,0.001204127,120.0366842,0.207693269,0.001730248,96.63710057
89.79435907,0.111713764,0.001244107,119.9466114,0.208633668,0.001739388,96.53651879
89.66600533,0.101899257,0.001136431,119.843701,0.190969592,0.001593489,96.43596539
89.52218004,0.094260678,0.001052931,119.7138466,0.177589006,0.001483446,96.29611096
89.39513386,0.096354216,0.001077846,119.4591409,0.192214492,0.00160904,96.09517024
89.27089277,0.087756827,0.00098304,119.346276,0.191536743,0.001604882,95.9334685
89.20037521,0.085517707,0.000958715,119.2443229,0.186979741,0.001568039,95.83311038
89.03932992,0.094399955,0.001060205,119.14212,0.192865476,0.001618785,95.69336653
88.93315031,0.094394194,0.001061406,119.0683638,0.179428834,0.00150694,95.4924928
88.83738633,0.108199116,0.001217946,118.9543779,0.183036438,0.001538711,95.29166368
88.71754685,0.113924345,0.001284124,118.9189529,0.18322589,0.001540763,95.09084499
88.71929498,0.116331235,0.001311228,118.9241795,0.173177065,0.001456197,94.85066103
88.68966044,0.122812855,0.001384748,118.9022459,0.185125639,0.001556957,94.54934384
88.71330748,0.13421367,0.001512892,118.9153174,0.20516538,0.001725307,94.28731105
88.72171131,0.142282651,0.001603696,118.9110135,0.21311297,0.001792205,94.12575761
88.73030088,0.14997685,0.001690255,118.8956433,0.217664275,0.001830717,94.0253454
88.75714555,0.148141007,0.00166906,118.8835478,0.209061029,0.001758536,93.92485057
88.78724111,0.157265846,0.001771266,118.8526336,0.228190622,0.001919946,93.86372294
88.81456168,0.164751641,0.001855007,118.8362753,0.248135985,0.002088049,93.90308832
88.83869898,0.165772416,0.001865993,118.8470865,0.24397928,0.002052884,94.0034914
88.89064553,0.154260961,0.001735402,118.8409876,0.257394706,0.002165875,94.10391589
88.9384994,0.148590363,0.001670709,118.8165033,0.263973354,0.002221689,94.28310629
88.97852316,0.159103098,0.001788107,118.8066043,0.265386888,0.002233772,94.58435265
89.0339163,0.149620839,0.001680493,118.7929314,0.256205807,0.002156743,94.88564663
89.05687794,0.15305621,0.001718634,118.7710301,0.262187262,0.002207502,95.14760148
89.1141353,0.156175892,0.001752538,118.747305,0.263187367,0.002216365,95.38794506
89.14330339,0.151029527,0.001694233,118.7185757,0.261363671,0.00220154,95.68936297
89.17736776,0.1463494,0.001641105,118.7067776,0.257937311,0.002172895,95.99081441
89.19884224,0.145470225,0.001630853,118.6837768,0.257326777,0.002168171,96.25284708
89.20898836,0.142639666,0.001598938,118.6280367,0.25498481,0.002149448,96.45384373
89.23021838,0.145515749,0.00163079,118.5835122,0.254205139,0.00214368,96.65483379
89.24237025,0.142238526,0.001593845,118.5518298,0.250136443,0.002109933,96.81641289
89.24713909,0.131049205,0.001468386,118.5055373,0.24680992,0.002082687,96.9565012
89.24953837,0.121969517,0.001366612,118.4512721,0.239730946,0.002023878,97.15744149
89.26482715,0.105567677,0.001182635,118.40783,0.226156019,0.001909975,97.35832267
89.25368307,0.10397937,0.001164987,118.3639333,0.232897295,0.001967637,97.51969306
89.24879629,0.103417165,0.001158751,118.3308263,0.232001127,0.001960614,97.62001884
89.23817475,0.093722187,0.001050248,118.283905,0.219217087,0.001853313,97.72034311
89.23597634,0.092946611,0.001041582,118.2414651,0.216309354,0.001829387,97.82068804
89.22330675,0.096234139,0.001078576,118.1974565,0.224969631,0.001903337,97.92104759
89.21821637,0.100694872,0.001128636,118.1649374,0.23352252,0.001976242,98.02138847
89.2171858,0.109256103,0.001224608,118.1262788,0.24092472,0.002039552,98.12174555
89.2166172,0.10940474,0.001226282,118.1038557,0.24206262,0.002049574,98.1826405
89.2165988,0.10696614,0.001198949,118.0848712,0.248943526,0.002108175,98.18262358
89.20924709,0.11223796,0.001258143,118.0655578,0.23401344,0.001982064,98.18260371
90.43065752,0.14567135,0.001610862,123.764389,0.251076801,0.002028668,95.6607339
90.41546134,0.133496283,0.001476476,123.7207772,0.233876538,0.001890358,95.76115172
90.4071571,0.148547169,0.001643091,123.6650671,0.245668078,0.00198656,95.86154805
90.40508442,0.141040139,0.001560091,123.6249017,0.240505022,0.001945442,95.9619523
90.39694104,0.141185116,0.001561835,123.5909464,0.243323003,0.001968777,96.06236749
90.37701956,0.142296994,0.001574482,123.5480809,0.244388267,0.001978082,96.16278805
90.36873785,0.134037108,0.001483224,123.4894242,0.234514333,0.001899064,96.17420345
90.34142018,0.132285347,0.001464282,123.4407689,0.228509899,0.00185117,96.17416584
90.30796965,0.140122709,0.00155161,123.3751718,0.231543231,0.001876741,96.17413918
90.27495062,0.130704647,0.001447851,123.2907094,0.251954646,0.002043582,96.17410971
90.26260896,0.129569995,0.001435478,123.2240957,0.246742881,0.002002391,96.1740704
90.23241502,0.12992662,0.001439911,123.1044172,0.257418759,0.00209106,96.17403675
90.18722783,0.137132331,0.001520529,123.0044317,0.254983977,0.002072966,96.17405784
90.1613775,0.13592558,0.001507581,122.9406052,0.257323888,0.002093075,96.17404404
90.12646825,0.125710729,0.001394826,122.8160844,0.235419234,0.001916844,96.1740328
90.05641002,0.124873493,0.001386614,122.7027786,0.235853093,0.00192215,96.17403552
90.01499472,0.121446965,0.001349186,122.6172556,0.233462371,0.001903993,96.17403105
89.94990538,0.121155914,0.001346927,122.4964423,0.235175042,0.001919852,96.17410068
89.92297695,0.123982255,0.001378761,122.4388092,0.236356851,0.001930408,96.17417141
89.9087285,0.130029146,0.001446235,122.3442065,0.239780097,0.001959881,96.17428168
89.88289985,0.145720936,0.001621231,122.3517241,0.238290977,0.00194759,96.17435891
89.86983867,0.132176094,0.00147075,122.3366032,0.226298746,0.001849804,96.17441223
89.82836172,0.126587981,0.001409221,122.2587845,0.217230623,0.00177681,96.1744262
89.81183091,0.122181971,0.001360422,122.2322712,0.220061637,0.001800356,96.17447385
89.80892693,0.124547093,0.001386801,122.2346605,0.230335266,0.001884369,96.17448904
89.79774952,0.126523516,0.001408983,122.2373843,0.234259859,0.001916434,96.17448987
89.7784004,0.133736237,0.001489626,122.2544366,0.232704644,0.001903445,96.1744917
89.77732009,0.119938092,0.001335951,122.2723668,0.215868537,0.001765473,96.17445349
89.75849537,0.105770118,0.001178386,122.2670006,0.193799134,0.001585049,96.17440758
89.74602286,0.109551926,0.001220688,122.277796,0.191124072,0.001563032,96.17437039
89.72192881,0.101172985,0.001127628,122.243538,0.187797339,0.001536256,96.17433177
89.71936045,0.101835564,0.001135046,122.2359083,0.191481189,0.001566489,96.17432285
89.7140734,0.095867285,0.001068587,122.2062774,0.174432629,0.001427362,96.17433128
89.65903694,0.091605203,0.001021706,122.1695228,0.164432669,0.001345939,96.17434729
89.60881422,0.094287509,0.001052212,122.1337893,0.165360884,0.001353932,96.17434851
89.53503122,0.103697253,0.001158175,122.0635104,0.180164007,0.001475986,96.1743555
89.48186857,0.093859945,0.001048927,122.0265391,0.172061464,0.001410033,96.08504142
89.42488389,0.099659297,0.001114447,121.9685317,0.180769579,0.0014821,95.98462575
89.34332681,0.103777105,0.001161554,121.9010072,0.194923489,0.001599031,95.88425717
