DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
88.68966044,0.122812855,118.9022459,0.185125639,0.001384748,0.001556957,0.889394263,94.54934384
88.71330748,0.13421367,118.9153174,0.20516538,0.001512892,0.001725307,0.876883106,94.28731105
88.72171131,0.142282651,118.9110135,0.21311297,0.001603696,0.001792205,0.894817024,94.12575761
88.73030088,0.14997685,118.8956433,0.217664275,0.001690255,0.001830717,0.923274966,94.0253454
88.75714555,0.148141007,118.8835478,0.209061029,0.00166906,0.001758536,0.949118938,93.92485057
88.78724111,0.157265846,118.8526336,0.228190622,0.001771266,0.001919946,0.922560536,93.86372294
88.81456168,0.164751641,118.8362753,0.248135985,0.001855007,0.002088049,0.888392437,93.90308832
88.83869898,0.165772416,118.8470865,0.24397928,0.001865993,0.002052884,0.90896188,94.0034914
88.89064553,0.154260961,118.8409876,0.257394706,0.001735402,0.002165875,0.801247364,94.10391589
88.9384994,0.148590363,118.8165033,0.263973354,0.001670709,0.002221689,0.751999447,94.28310629
88.97852316,0.159103098,118.8066043,0.265386888,0.001788107,0.002233772,0.800487517,94.58435265
89.0339163,0.149620839,118.7929314,0.256205807,0.001680493,0.002156743,0.779180797,94.88564663
89.05687794,0.15305621,118.7710301,0.262187262,0.001718634,0.002207502,0.778542676,95.14760148
89.1141353,0.156175892,118.747305,0.263187367,0.001752538,0.002216365,0.790726181,95.38794506
89.14330339,0.151029527,118.7185757,0.261363671,0.001694233,0.00220154,0.769567281,95.68936297
89.17736776,0.1463494,118.7067776,0.257937311,0.001641105,0.002172895,0.75526202,95.99081441
89.19884224,0.145470225,118.6837768,0.257326777,0.001630853,0.002168171,0.752179112,96.25284708
89.20898836,0.142639666,118.6280367,0.25498481,0.001598938,0.002149448,0.743883166,96.45384373
89.23021838,0.145515749,118.5835122,0.254205139,0.00163079,0.00214368,0.76074311,96.65483379
89.24237025,0.142238526,118.5518298,0.250136443,0.001593845,0.002109933,0.755400795,96.81641289
89.24713909,0.131049205,118.5055373,0.24680992,0.001468386,0.002082687,0.705043836,96.9565012
89.24953837,0.121969517,118.4512721,0.239730946,0.001366612,0.002023878,0.675244342,97.15744149
89.26482715,0.105567677,118.40783,0.226156019,0.001182635,0.001909975,0.61918848,97.35832267
89.25368307,0.10397937,118.3639333,0.232897295,0.001164987,0.001967637,0.592073989,97.51969306
89.24879629,0.103417165,118.3308263,0.232001127,0.001158751,0.001960614,0.591014397,97.62001884
89.23817475,0.093722187,118.283905,0.219217087,0.001050248,0.001853313,0.566686654,97.72034311
89.23597634,0.092946611,118.2414651,0.216309354,0.001041582,0.001829387,0.569361481,97.82068804
89.22330675,0.096234139,118.1974565,0.224969631,0.001078576,0.001903337,0.566676349,97.92104759
89.21821637,0.100694872,118.1649374,0.23352252,0.001128636,0.001976242,0.571101996,98.02138847
89.2171858,0.109256103,118.1262788,0.24092472,0.001224608,0.002039552,0.600429948,98.12174555
89.2166172,0.10940474,118.1038557,0.24206262,0.001226282,0.002049574,0.598310647,98.1826405
89.2165988,0.10696614,118.0848712,0.248943526,0.001198949,0.002108175,0.568714219,98.18262358
89.20924709,0.11223796,118.0655578,0.23401344,0.001258143,0.001982064,0.634764034,98.18260371
90.43065752,0.14567135,123.764389,0.251076801,0.001610862,0.002028668,0.794049493,95.6607339
90.41546134,0.133496283,123.7207772,0.233876538,0.001476476,0.001890358,0.781056505,95.76115172
90.4071571,0.148547169,123.6650671,0.245668078,0.001643091,0.00198656,0.827103531,95.86154805
90.40508442,0.141040139,123.6249017,0.240505022,0.001560091,0.001945442,0.801921177,95.9619523
90.39694104,0.141185116,123.5909464,0.243323003,0.001561835,0.001968777,0.793302224,96.06236749
90.37701956,0.142296994,123.5480809,0.244388267,0.001574482,0.001978082,0.795963885,96.16278805
90.36873785,0.134037108,123.4894242,0.234514333,0.001483224,0.001899064,0.781029086,96.17420345
90.34142018,0.132285347,123.4407689,0.228509899,0.001464282,0.00185117,0.791003537,96.17416584
90.30796965,0.140122709,123.3751718,0.231543231,0.00155161,0.001876741,0.826757469,96.17413918
90.27495062,0.130704647,123.2907094,0.251954646,0.001447851,0.002043582,0.708486777,96.17410971
90.26260896,0.129569995,123.2240957,0.246742881,0.001435478,0.002002391,0.716881824,96.1740704
90.23241502,0.12992662,123.1044172,0.257418759,0.001439911,0.00209106,0.688603145,96.17403675
90.18722783,0.137132331,123.0044317,0.254983977,0.001520529,0.002072966,0.733504342,96.17405784
90.1613775,0.13592558,122.9406052,0.257323888,0.001507581,0.002093075,0.720270952,96.17404404
90.12646825,0.125710729,122.8160844,0.235419234,0.001394826,0.001916844,0.727668033,96.1740328
90.05641002,0.124873493,122.7027786,0.235853093,0.001386614,0.00192215,0.721387235,96.17403552
90.01499472,0.121446965,122.6172556,0.233462371,0.001349186,0.001903993,0.708608743,96.17403105
89.94990538,0.121155914,122.4964423,0.235175042,0.001346927,0.001919852,0.701578309,96.17410068
89.92297695,0.123982255,122.4388092,0.236356851,0.001378761,0.001930408,0.714232741,96.17417141
89.9087285,0.130029146,122.3442065,0.239780097,0.001446235,0.001959881,0.737919743,96.17428168
89.88289985,0.145720936,122.3517241,0.238290977,0.001621231,0.00194759,0.832429328,96.17435891
89.86983867,0.132176094,122.3366032,0.226298746,0.00147075,0.001849804,0.795084379,96.17441223
89.82836172,0.126587981,122.2587845,0.217230623,0.001409221,0.00177681,0.793118387,96.1744262
